Feature,Mean_0,Mean_1,t,p
cbo,25.37508261731659,29.6123595505618,-4.97191706600297,6.813775742215504e-07
wmc,86.49272967614012,85.8631857237277,0.17993911499993487,0.8572063932957017
dit,5.218440185062789,3.979841374752148,5.198029711034163,2.0957751803187774e-07
rfc,70.96497025776603,66.9438202247191,1.8239359952412186,0.0682112947858323
lcom,1242.658625247852,1241.4018506278917,0.005173145620074261,0.9958726159484967
totalMethods,33.5601454064772,33.43555849306014,0.09047738902233975,0.9279108563458849
totalFields,14.079973562458692,14.01883674818242,0.09127709112941611,0.927275442461496
nosi,10.165565102445473,1.7247191011235956,13.180477681884947,6.070604190166187e-39
loc,443.4120951751487,440.73628552544614,0.1526974049324509,0.8786419993993715
returnQty,25.482154659616654,25.33807005948447,0.11908711377580848,0.9052102936251304
loopQty,5.5366820885657635,5.501652346331791,0.1314313438336025,0.8954384651333901
comparisonsQty,18.96067415730337,18.75776602775942,0.21569373398957992,0.8292337569085628
tryCatchQty,3.2319894249834764,3.2045604758757436,0.12449216147436142,0.9009297422537339
parenthesizedExpsQty,5.287508261731659,5.24818241903503,0.10959259132007661,0.9127361212793927
stringLiteralsQty,36.84104428288169,36.614672835426305,0.07399021465019393,0.9410206175867154
numbersQty,31.290152015862525,30.951090548578982,0.15385218402591203,0.8777314182652065
assignmentsQty,66.13086582947786,65.66721744877727,0.17766520772983238,0.8589918585493946
mathOperationsQty,15.829477858559153,15.758757435558493,0.06874511438772858,0.9451947788789128
variablesQty,49.864177131526766,49.53668208856576,0.1756165302132796,0.860601092225762
maxNestedBlocks,5.06708526107072,5.015201586252479,0.34081922788453206,0.7332515086865317
uniqueWordsQty,219.9596827495043,218.6067415730337,0.1969851895495015,0.8438457446745445
